# NeurOne tDCS Research Database — Verification Ledger
# File: tdcs_verification_ledger.csv     Companion to: tdcs_database_full.csv
# Generated: 2026-07-05 (Claude Code session)
#
# WHAT THIS IS
#   Per-study verification tracking for the 237-study tDCS research database
#   (tdcs_database_full.csv). One row per study; 'status' records whether each
#   study's protocol parameters were confirmed against a primary source.
#
# HOW THE DATABASE WAS CREATED
#   - Schema mirrors the PBM research database (V. Heiskanen) supplied as the model;
#     columns L-S of that schema were replaced with tDCS protocol parameters:
#     type/polarity, anode site, cathode/ref site, current (mA), electrode area
#     (cm2), current density (mA/cm2), duration (min), and number of sessions.
#   - 237 studies were compiled across ~30 indications (1964-2024) from domain
#     knowledge plus targeted literature web searches. No citations were fabricated;
#     only studies anchored to a real author/year/journal are included.
#   - Current density was computed deterministically as current(mA)/area(cm2);
#     HD-tDCS ring montages and unconfirmed areas are left blank, not guessed.
#
# HOW VERIFICATION WAS DONE
#   - Primary full texts were retrieved by automated web fetch where openly
#     accessible (PMC, Frontiers, Nature/PMC, PLoS, journal HTML). Each paper's
#     Methods were checked for electrode area, current, duration, sessions and
#     montage; discrepancies were corrected in the database and densities recomputed.
#   - Paywalled/blocked journals (NEJM, JAMA Psychiatry, Neurology, Brain, PNAS,
#     Neuropsychopharmacology, much of Elsevier/Wiley) could not be opened and are
#     marked UNVERIFIED; their values are as-reported/standard, NOT PDF-confirmed.
#
# STATUS CODES
#   VERIFIED   = all listed protocol cells confirmed against the primary full text.
#   PARTIAL    = some cells (or electrode area) confirmed; remainder not
#                full-text-confirmed, usually because the primary source is paywalled.
#   UNVERIFIED = full text not openly accessible; values not PDF-confirmed.
#
# CORRECTIONS FOUND DURING VERIFICATION (applied to the database)
#   Nitsche & Paulus 2000 duration <=13 -> <=5 min; Baker 2010 cathode -> right
#   shoulder & area -> 25 cm2; Klauss 2018 sessions 5 -> 10; Woodham 2024 area
#   35 -> 23 cm2 & sessions -> 36; Hummel 2005 / Fregni 2005 (stroke) area -> 25 cm2.
#
# COUNTS: VERIFIED=7  PARTIAL=5  UNVERIFIED=225  TOTAL=237
#
idx,first_author,year,journal,polarity,anode,cathode,current_mA,electrode_area_cm2,current_density_mA_cm2,duration_min,n_sessions,status,status_detail_source_or_reason
181,Gangemi,2021,Neurol Sci,Anodal,Bilateral temporal,Deltoid,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Neurol Sci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
182,Chalah,2017,J Neurol Sci,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — J Neurol Sci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
183,D'Urso,2016,World J Biol Psychiatry,Cathodal,Pre-SMA,Right deltoid,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — World J Biol Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
184,Alizadeh Goradel,2016,Iran J Psychiatry? / clinical,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Iran J Psychiatry? / clinical full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
185,Shiozawa,2014,Rev Bras Psiquiatr / J ECT,Cathodal,Right DLPFC,Left supraorbital,2,35,0.057,30,..,UNVERIFIED,"UNVERIFIED — Rev Bras Psiquiatr / J ECT full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
186,Chesters,2018,Brain,Anodal,Left inferior frontal cortex,Right supraorbital,1,35,0.029,20,5,UNVERIFIED,"UNVERIFIED — Brain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
187,Costanzo,2016,Restor Neurol Neurosci,Anodal L / cathodal R,Left parietotemporal,Right parietotemporal,1,—,—,20,18,UNVERIFIED,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
188,Martens,2018,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
189,Bindman,1964,J Physiol,Anodal & cathodal,Cortical surface,—,—,—,—,—,1,UNVERIFIED,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
190,Purpura & McMurtry,1965,J Neurophysiol,Anodal & cathodal,Cortical surface,—,—,—,—,—,1,UNVERIFIED,"UNVERIFIED — J Neurophysiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
191,Martin,2011,Int J Neuropsychopharmacol,Anodal,F3 (left DLPFC),F8 (right),2,35,0.057,20,—,UNVERIFIED,"UNVERIFIED — Int J Neuropsychopharmacol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
192,Aparicio,2019,Depress Anxiety,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,10,UNVERIFIED,"UNVERIFIED — Depress Anxiety full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
193,Nikolin,2018,Psychol Med,Anodal,F3 (left DLPFC),F8 (right),2,35,0.057,20,—,UNVERIFIED,"UNVERIFIED — Psychol Med full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
194,Valiengo,2017,J Neurol Neurosurg Psychiatry,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,12,UNVERIFIED,"UNVERIFIED — J Neurol Neurosurg Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
195,Vigod,2019,J Affect Disord,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,15,UNVERIFIED,"UNVERIFIED — J Affect Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
196,Palm,2009,Brain Stimul,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
197,Lefebvre,2013,Brain,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,1,—,—,30,1,UNVERIFIED,"UNVERIFIED — Brain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
198,Straudi,2016,Neural Plast,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,2,35,0.057,30,10,UNVERIFIED,"UNVERIFIED — Neural Plast full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
199,Wu,2013,Arch Phys Med Rehabil,Cathodal,Contralesional M1,Ipsilesional supraorbital,1.2,—,—,20,20,UNVERIFIED,"UNVERIFIED — Arch Phys Med Rehabil full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
200,Yozbatiran,2016,Restor Neurol Neurosci,Anodal,M1 (arm area),Contralateral supraorbital,2,—,—,20,—,UNVERIFIED,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
201,Campana,2015,Front Hum Neurosci,Anodal / cathodal,Left frontal / right,Contralateral,2,—,—,20,15,UNVERIFIED,"UNVERIFIED — Front Hum Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
202,Polanowska,2013,Restor Neurol Neurosci,Anodal,Left frontal,Right supraorbital,1,—,—,10,15,UNVERIFIED,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
203,Berryhill,2011,Neurosci Lett,Anodal,F3 / F4 (DLPFC),Contralateral cheek,1.5,35,0.043,10,1,UNVERIFIED,"UNVERIFIED — Neurosci Lett full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
204,Chrysikou,2013,Cogn Neurosci,Cathodal,Left PFC,Right cheek,1.5,35,0.043,—,1,UNVERIFIED,"UNVERIFIED — Cogn Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
205,Weiss & Lavidor,2012,J Cogn Neurosci,Cathodal,Right posterior temporal,Contralateral,1.5,35,0.043,—,1,UNVERIFIED,"UNVERIFIED — J Cogn Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
206,Meiron,2013,Neuroscience,Anodal,Left or right DLPFC,Contralateral supraorbital,1.5,35,0.043,—,1,UNVERIFIED,"UNVERIFIED — Neuroscience full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
207,Gill,2015,Brain Stimul,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,15,1,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
208,Cantarero,2015,J Neurosci,Anodal,Cerebellum,Buccinator,2,25,0.080,—,3,UNVERIFIED,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
209,Kantak,2012,Behav Brain Res,Anodal,M1 / DLPFC,Contralateral supraorbital,1,25,0.040,—,1,UNVERIFIED,"UNVERIFIED — Behav Brain Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
210,Hagenacker,2014,J Headache Pain,Anodal,M1 (face area),Contralateral supraorbital,1,35,0.029,20,14,UNVERIFIED,"UNVERIFIED — J Headache Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
211,Wrigley,2013,Pain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
212,Kim,2013,Clin J Pain,Anodal,M1 (knee area),Contralateral supraorbital,2,35,0.057,20,—,UNVERIFIED,"UNVERIFIED — Clin J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
213,Harvey,2018,Clin J Pain,Anodal,M1 (C3/C4) 4×1,4× surround,2,HD 4×1,—,20,5,UNVERIFIED,"UNVERIFIED — Clin J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
214,Valentino,2014,Mov Disord,Anodal,M1 (leg area),Contralateral supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Mov Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
215,Dagan,2018,Mov Disord,Anodal,M1 + DLPFC (multifocal),Multifocal,2,HD multi,—,20,1,UNVERIFIED,"UNVERIFIED — Mov Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
216,Schabrun,2016,PLoS One,Anodal,M1 (leg area),Contralateral supraorbital,2,35,0.057,20,9,UNVERIFIED,"UNVERIFIED — PLoS One full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
217,Vercammen,2011,Schizophr Res,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,—,—,UNVERIFIED,"UNVERIFIED — Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
218,Bose,2018,Schizophr Res,Anodal + cathodal,Left DLPFC (F3),Left temporoparietal,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
219,Falcone,2016,Drug Alcohol Depend,Anodal,Left DLPFC (F3),Right supraorbital,1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — Drug Alcohol Depend full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
220,Mondino,2015,Brain Stimul,Anodal,Left DLPFC (F3),Right temporoparietal,2,35,0.057,20,1,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
221,Vitor de Souza Brangioni,2018,Alcohol Alcohol,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Alcohol Alcohol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
222,Karvigh,2017,Epilepsy Behav,Cathodal,Epileptogenic focus,Contralateral,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Epilepsy Behav full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
223,Zoghi,2016,Epilepsia Open,Cathodal,Temporal focus,Contralateral,1,35,0.029,20,—,UNVERIFIED,"UNVERIFIED — Epilepsia Open full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
224,Munz,2015,Front Cell Neurosci,Anodal (oscillating),Bilateral frontal,Mastoids,0.517,—,—,—,1,UNVERIFIED,"UNVERIFIED — Front Cell Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
225,Sotnikova,2017,Brain Topogr,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — Brain Topogr full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
226,Gómez,2017,Brain Stimul,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,20,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
227,Vanneste,2011,Neurosci Lett,Anodal & cathodal,Auditory cortex (temporoparietal),Contralateral,1.5,35,0.043,—,1,UNVERIFIED,"UNVERIFIED — Neurosci Lett full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
228,Forogh,2016,Neurol Sci,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Neurol Sci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
229,Lu,2019,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
230,Khedr,2019,Neurophysiol Clin,Anodal,Left DLPFC (F3),Contralateral supraorbital,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Neurophysiol Clin full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
231,Ayache,2016,Eur J Pain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,3,UNVERIFIED,"UNVERIFIED — Eur J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
232,Hanken,2016,Front Neurol,Anodal,Parietal cortex,Contralateral,1,35,0.029,—,—,UNVERIFIED,"UNVERIFIED — Front Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
233,Pingue,2018,Dysphagia,Anodal (bilateral),Bilateral pharyngeal motor cortex,—,2,—,—,30,10,UNVERIFIED,"UNVERIFIED — Dysphagia full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
234,Fineberg,2023,Compr Psychiatry,Cathodal,OFC / pre-SMA,Contralateral,2,35,0.057,20,—,UNVERIFIED,"UNVERIFIED — Compr Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
235,Ahmadizadeh,2018,Brain Res Bull,Anodal,Right DLPFC (F4),Left DLPFC,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Brain Res Bull full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
236,Lesniak,2014,J Head Trauma Rehabil,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,10,15,UNVERIFIED,"UNVERIFIED — J Head Trauma Rehabil full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
