★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Type / polarity,Anode site,Cathode / ref site,Current (mA),Electrode size (cm²),Current density (mA/cm²),t / min,N sessions,Results:  positive ☺ / modest ☺ / null ☹  ↑ ↓ →  (conclusions),Link,Additional info,Comment,Reply,Additional info (2)
,Multiple sclerosis,Fatigue,,Tecchio,Italy,2014,J Neurol,Personalized somatosensory tDCS reduces MS fatigue,RCT (n=..),Individualized S1,Anodal,Whole somatosensory (personalized),—,1.5,35,0.043,15,5,☺ ↓ fatigue; effect persisted weeks,https://pubmed.ncbi.nlm.nih.gov/?term=Tecchio%202014%20tDCS,"UNVERIFIED — J Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Multiple sclerosis,Fatigue (remote),,Charvet,USA,2018,Mult Scler,Remotely-supervised home tDCS for MS fatigue,RCT (n=27),Tele-supervised + cognitive training,Anodal,F3 (left DLPFC),Right supraorbital,2.0,25,0.080,20,20,☺ ↓ fatigue vs sham (home),https://pubmed.ncbi.nlm.nih.gov/?term=Charvet%202018%20tDCS,"VERIFIED (PMC5975187): 5×5=25 cm², 2 mA, 20 min, 20 sessions, left DLPFC anode; cathode not stated",,,
,Multiple sclerosis,Neuropathic pain,,Mori,Italy,2010,J Pain,Anodal M1 tDCS reduces MS central neuropathic pain,RCT (n=19),M1 target,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,☺ ↓ pain vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Mori%202010%20tDCS,"UNVERIFIED — J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Dysphagia (stroke),Swallowing,,Kumar,USA,2011,Stroke,Anodal pharyngeal-motor tDCS improves post-stroke swallowing,RCT (n=14),+ swallowing therapy,Anodal,Pharyngeal motor cortex (unaffected),Contralateral supraorbital,2,—,—,30,5,☺ ↑ swallowing (DOSS) vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Kumar%202011%20tDCS,"UNVERIFIED — Stroke full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Dysphagia (stroke),Swallowing,,Shigematsu,Japan,2013,Neurorehabil Neural Repair,Anodal tDCS on affected hemisphere improves dysphagia,RCT (n=20),Affected-side stimulation,Anodal,Pharyngeal motor cortex (affected),Contralateral supraorbital,1,—,—,20,10,☺ ↑ DOSS vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Shigematsu%202013%20tDCS,"UNVERIFIED — Neurorehabil Neural Repair full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Dysphagia (stroke),Swallowing,,Yang,South Korea,2012,J Oral Rehabil? / clinical,Anodal tDCS + swallowing exercise for post-stroke dysphagia,RCT (n=16),3-mo follow-up,Anodal,Pharyngeal motor cortex (affected),Contralateral supraorbital,1,—,—,20,10,☺ ↑ functional dysphagia scale at 3 mo,https://pubmed.ncbi.nlm.nih.gov/?term=Yang%202012%20tDCS,"UNVERIFIED — J Oral Rehabil? / clinical full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Disorders of consciousness,MCS,,Thibaut,Belgium,2014,Neurology,Anodal DLPFC tDCS transiently improves signs of consciousness (MCS),RCT crossover (n=55),Single session,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,1,☺ New conscious signs in subset of MCS,https://pubmed.ncbi.nlm.nih.gov/?term=Thibaut%202014%20tDCS,"UNVERIFIED — Neurology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Disorders of consciousness,MCS (repeated),,Thibaut,Belgium,2017,Brain Inj / Restor Neurol Neurosci,Repeated prefrontal tDCS in chronic MCS,RCT (n=..),5 daily sessions,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,5,☺ (modest) ↑ CRS-R in some MCS patients,https://pubmed.ncbi.nlm.nih.gov/?term=Thibaut%202017%20tDCS,"UNVERIFIED — Brain Inj / Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Disorders of consciousness,MCS/VS,,Angelakis,Greece,2014,Arch Phys Med Rehabil,Prefrontal tDCS in vegetative & minimally conscious states,Case series/controlled (n=10),Repeated sessions,Anodal,Left DLPFC (F3),Right supraorbital,1,35,0.029,20,multiple,☺ (modest) Behavioural gains in MCS not VS,https://pubmed.ncbi.nlm.nih.gov/?term=Angelakis%202014%20tDCS,"UNVERIFIED — Arch Phys Med Rehabil full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,OCD,SMA / OFC,,Gowda,India,2019,Brain Stimul,Cathodal pre-SMA tDCS for obsessive-compulsive disorder (RCT),RCT (n=25),Augmentation,Cathodal,Pre-SMA,Right supraorbital,2,35,0.057,20,20,☺ ↓ Y-BOCS vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Gowda%202019%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,OCD,SMA,,Silva,Brazil,2021,Eur Arch Psychiatry Clin Neurosci,Cathodal SMA tDCS for OCD (sham-controlled),RCT (n=44),Larger OCD RCT,Cathodal,SMA,Deltoid / supraorbital,2,35,0.057,30,20,☺ (modest) ↓ OCD symptoms,https://pubmed.ncbi.nlm.nih.gov/?term=Silva%202021%20tDCS,"UNVERIFIED — Eur Arch Psychiatry Clin Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,OCD,OFC,,Bation,France,2019,Brain Stimul,Cathodal orbitofrontal / anodal cerebellar tDCS for refractory OCD,RCT (n=..),Refractory OCD,Cathodal,OFC,Cerebellum,2,35,0.057,20,10,☺ (modest) ↓ Y-BOCS in refractory cases,https://pubmed.ncbi.nlm.nih.gov/?term=Bation%202019%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,PTSD,DLPFC,,van 't Wout-Frank,USA,2019,Brain Stimul,Anodal DLPFC tDCS + virtual reality exposure for PTSD,RCT (n=..),Combined with VR exposure,Anodal,Right / ventromedial PFC,Contralateral,2,35,0.057,25,6,☺ (modest) ↓ arousal / PTSD symptoms,https://pubmed.ncbi.nlm.nih.gov/?term=van%20%27t%20Wout-Frank%202019%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Sleep / memory,Slow oscillation,,Marshall,Germany,2006,Nature,Slow-oscillating tDCS during sleep enhances declarative memory,Crossover (n=13),0.75 Hz oscillating tDCS in SWS,Anodal (oscillating),Bilateral frontal (F3/F4),Mastoids,0.517,—,—,~30,1,☺ ↑ overnight declarative memory retention,https://pubmed.ncbi.nlm.nih.gov/?term=Marshall%202006%20tDCS,"UNVERIFIED — Nature full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Sleep / insomnia,Insomnia,,Frase,Germany,2016,Neuropsychopharmacology,Bifrontal tDCS modulates total sleep time (anodal vs cathodal),Crossover (n=19),Sleep architecture,Anodal & cathodal,Bilateral frontal,Extracephalic,1,35,0.029,~15,1,☺/☹ Anodal ↓ / cathodal ↑ total sleep time,https://pubmed.ncbi.nlm.nih.gov/?term=Frase%202016%20tDCS,"UNVERIFIED — Neuropsychopharmacology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Sleep / insomnia,Slow-osc insomnia,,Saebipour,Iran,2015,J Sleep Res,Slow-oscillating tDCS improves sleep in primary insomnia,Crossover (n=6),so-tDCS during N2,Anodal (oscillating),Frontolateral,Mastoids,0.517,—,—,~25,1,☺ ↑ N3 sleep & efficiency,https://pubmed.ncbi.nlm.nih.gov/?term=Saebipour%202015%20tDCS,"UNVERIFIED — J Sleep Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Traumatic brain injury,Attention,,Ulam,USA,2015,Clin Neurophysiol,Anodal DLPFC tDCS improves attention & EEG after TBI,RCT (n=26),Acute rehab,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,☺ ↑ attention; EEG normalization,https://pubmed.ncbi.nlm.nih.gov/?term=Ulam%202015%20tDCS,"UNVERIFIED — Clin Neurophysiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cerebral palsy,Gait / balance,,Collange Grecco,Brazil,2014,Clin Rehabil,Anodal M1 tDCS + treadmill training improves gait in children with CP,RCT (n=24),Combined training,Anodal,M1 (leg area),Contralateral supraorbital,1,25,0.040,20,10,☺ ↑ gait & balance vs sham+training,https://pubmed.ncbi.nlm.nih.gov/?term=Collange%20Grecco%202014%20tDCS,"UNVERIFIED — Clin Rehabil full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Tourette syndrome,Tics,,Mrakic-Sposta,Italy,2008,Neurol Sci,Cathodal motor/pre-SMA tDCS reduces tics (pilot),Case (n=2),Pilot,Cathodal,M1 / pre-SMA,Contralateral supraorbital,2,35,0.057,15,5,☺ (modest) ↓ tic frequency,https://pubmed.ncbi.nlm.nih.gov/?term=Mrakic-Sposta%202008%20tDCS,"UNVERIFIED — Neurol Sci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Physiology / mechanism,Historical,,Priori,Italy,1998,Neuroreport,Weak scalp DC polarization modulates human motor excitability,Healthy,First modern human tDCS report,Anodal & cathodal,M1,Contralateral / mastoid,0.5,—,—,7 s,1,☺ Weak DC alters cortical excitability through scalp,https://pubmed.ncbi.nlm.nih.gov/?term=Priori%201998%20tDCS,"UNVERIFIED — Neuroreport full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Physiology / mechanism,Non-synaptic,,Ardolino,Italy,2005,J Physiol,Non-synaptic mechanisms of sustained cathodal tDCS effects,Healthy,Cathodal after-effect mechanism,Cathodal,M1 (C3),Contralateral supraorbital,1,35,0.029,10,1,☺ Cathodal after-effects via non-synaptic changes,https://pubmed.ncbi.nlm.nih.gov/?term=Ardolino%202005%20tDCS,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Physiology / mechanism,Pharmacology,,Nitsche,Germany,2003,J Physiol,Pharmacological modulation of tDCS-induced excitability shifts,Healthy,NMDA/Na-channel blockers,Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,≤13,1,☺ After-effects NMDA-dependent; abolished by blockers,https://pubmed.ncbi.nlm.nih.gov/?term=Nitsche%202003%20tDCS,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Physiology / mechanism,GABA,,Nitsche,Germany,2004,J Physiol,tDCS shifts intracortical inhibition/facilitation,Healthy,Paired-pulse TMS,Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,5,1,☺ Anodal ↓ SICI; cathodal ↑ SICI,https://pubmed.ncbi.nlm.nih.gov/?term=Nitsche%202004%20tDCS,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Physiology / mechanism,HD vs conventional,,Kuo,Germany,2013,Brain Stimul,4×1 HD-tDCS vs conventional tDCS on M1 plasticity,Healthy,Focality comparison,Anodal & cathodal,M1 (C3) 4×1 ring,4× surround,2,HD 4×1,—,10,1,"☺ HD-tDCS → later, longer after-effects",https://pubmed.ncbi.nlm.nih.gov/?term=Kuo%202013%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Motor learning (healthy),Retention,,Galea,USA,2009,J Neurophysiol,M1 anodal tDCS specifically enhances motor memory retention,Healthy,Retention vs acquisition,Anodal,M1 (C3/C4),Contralateral supraorbital,1,25,0.040,15,1,"☺ ↑ retention, not acquisition",https://pubmed.ncbi.nlm.nih.gov/?term=Galea%202009%20tDCS,"UNVERIFIED — J Neurophysiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Motor learning (healthy),Bimanual,,Waters-Metenier,UK,2014,J Neurosci,Bilateral M1 tDCS enhances bimanual motor skill & generalization,Healthy,Multi-day bimanual,Anodal (bilateral),Bilateral M1,—,1,25,0.040,20,4,☺ ↑ bimanual skill & transfer,https://pubmed.ncbi.nlm.nih.gov/?term=Waters-Metenier%202014%20tDCS,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Episodic memory,,Javadi,UK,2012,Brain Stimul,Anodal DLPFC tDCS improves episodic memory encoding/recognition,Healthy,Word recognition,Anodal,Left DLPFC (F3),Right supraorbital,1.5,35,0.043,~3/word,1,☺ ↑ recognition when applied at encoding,https://pubmed.ncbi.nlm.nih.gov/?term=Javadi%202012%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Math cognition,,Sarkar,UK,2014,J Neurosci,DLPFC tDCS modulates math performance in high math-anxiety,Healthy,Anxiety-dependent,Anodal,Bilateral DLPFC,—,1.5,35,0.043,20,1,☺ ↑ arithmetic in high-anxiety individuals,https://pubmed.ncbi.nlm.nih.gov/?term=Sarkar%202014%20tDCS,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Accelerated learning,,Clark,USA,2012,Neuroimage,Anodal tDCS accelerates object-detection learning,Healthy,DARPA/Sandia,Anodal,Right inferior frontal / temporal,Contralateral arm,2,35,0.057,30,1,☺ ↑ speed of threat-detection learning,https://pubmed.ncbi.nlm.nih.gov/?term=Clark%202012%20tDCS,"UNVERIFIED — Neuroimage full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Planning,,Dockery,Germany,2009,J Neurosci,DLPFC tDCS improves planning (Tower of London),Healthy,Polarity & phase effects,Anodal & cathodal,Left DLPFC (F3),Right supraorbital,1,35,0.029,15,1,☺ ↑ planning performance; polarity-dependent,https://pubmed.ncbi.nlm.nih.gov/?term=Dockery%202009%20tDCS,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Older-adult memory,,Flöel,Germany,2012,Neurobiol Aging,Anodal tDCS improves object-location memory in older adults,Healthy elderly,+ training; consolidation,Anodal,Right temporoparietal,Contralateral supraorbital,1,35,0.029,20,3,☺ ↑ memory consolidation in elderly,https://pubmed.ncbi.nlm.nih.gov/?term=Fl%C3%B6el%202012%20tDCS,"UNVERIFIED — Neurobiol Aging full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,MCI,Word retrieval,,Meinzer,Germany,2015,Neurology,Anodal tDCS restores word-retrieval network function in MCI,RCT crossover (n=18),fMRI; MCI,Anodal,Left IFG,Right supraorbital,1,35,0.029,20,1,☺ ↑ word retrieval to healthy-like level,https://pubmed.ncbi.nlm.nih.gov/?term=Meinzer%202015%20tDCS,"UNVERIFIED — Neurology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Reading,,Turkeltaub,USA,2012,Neuropsychologia,Anodal left-temporoparietal tDCS improves reading efficiency,Healthy,Left perisylvian,Anodal,Left temporoparietal,Right supraorbital,1.5,35,0.043,20,1,☺ ↑ reading speed in efficient readers,https://pubmed.ncbi.nlm.nih.gov/?term=Turkeltaub%202012%20tDCS,"UNVERIFIED — Neuropsychologia full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,tDCS vs drug,,Rigonatti,Brazil,2008,Eur Psychiatry,tDCS vs fluoxetine for depression: speed of response,RCT (n=42),Faster onset with tDCS,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,☺ tDCS = fluoxetine at 6 wk; faster early response,https://pubmed.ncbi.nlm.nih.gov/?term=Rigonatti%202008%20tDCS,"UNVERIFIED — Eur Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Severe TRD,,Ferrucci,Italy,2009,J Affect Disord,Bifrontal tDCS in severe drug-resistant depression,Open (n=14),2×/day ×5,Anodal,F3 (left DLPFC),Right supraorbital (F4),2,35,0.057,20,10,☺ ↓ depression scores; short-lived,https://pubmed.ncbi.nlm.nih.gov/?term=Ferrucci%202009%20tDCS,"UNVERIFIED — J Affect Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Bipolar,,Dell'Osso,Italy,2012,Bipolar Disord,Bifrontal tDCS for bipolar depression (open),Open (n=..),Bipolar sample,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,20,10,☺ (modest) ↓ depression in bipolar patients,https://pubmed.ncbi.nlm.nih.gov/?term=Dell%27Osso%202012%20tDCS,"UNVERIFIED — Bipolar Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Add-on,,Brunoni,Brazil,2011,J Affect Disord,Bifrontal tDCS as add-on for depression (sham-controlled),RCT (n=..),Add-on to meds,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,20,10,☺ ↑ response vs sham add-on,https://pubmed.ncbi.nlm.nih.gov/?term=Brunoni%202011%20tDCS,"UNVERIFIED — J Affect Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,"Motor (acute, dual)",,Di Lazzaro,Italy,2014,Brain Stimul,Bihemispheric tDCS + rehab in acute stroke,RCT (n=..),Early bihemispheric,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,2,35,0.057,40,5,☹/☺ No clear added benefit in acute phase,https://pubmed.ncbi.nlm.nih.gov/?term=Di%20Lazzaro%202014%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,"Motor (acute, null)",,Rossi,Italy,2013,Eur J Neurol,Anodal ipsilesional tDCS does not speed acute-stroke recovery,RCT (n=50),Valid negative,Anodal,Ipsilesional M1,Contralateral supraorbital,2,35,0.057,20,5,☹ No difference vs sham (acute),https://pubmed.ncbi.nlm.nih.gov/?term=Rossi%202013%20tDCS,"UNVERIFIED — Eur J Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Motor + PNS,,Sattler,France,2015,Neurorehabil Neural Repair,Anodal M1 tDCS + peripheral nerve stimulation in subacute stroke,RCT (n=20),Combined stimulation,Anodal,Ipsilesional M1,Contralateral supraorbital,1,35,0.029,20,5,☺ ↑ hand motor function vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Sattler%202015%20tDCS,"UNVERIFIED — Neurorehabil Neural Repair full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Motor learning,,Kang,South Korea,2011,Restor Neurol Neurosci,Cathodal contralesional tDCS improves paretic motor learning,Crossover,Sequential learning,Cathodal,Contralesional M1,Ipsilesional supraorbital,2,25,0.080,20,1,☺ ↑ motor sequence learning,https://pubmed.ncbi.nlm.nih.gov/?term=Kang%202011%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Aphasia (post-stroke),Articulation,,Marangolo,Italy,2013,Restor Neurol Neurosci,Bihemispheric tDCS improves conversational speech in aphasia,RCT crossover (n=..),Repeated,Anodal / cathodal,Left frontal / right,Contralateral,2,—,—,20,10,☺ ↑ content/speech vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Marangolo%202013%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Aphasia (post-stroke),Individualized,,Shah-Basak,USA / Canada,2015,J Neurosci? / Restor Neurol Neurosci,Individually-optimized anodal/cathodal tDCS in chronic aphasia,RCT (n=12),Best-montage per patient,Anodal / cathodal,Left / right frontal,Contralateral,2,—,—,20,10,☺ ↑ naming with individualized montage,https://pubmed.ncbi.nlm.nih.gov/?term=Shah-Basak%202015%20tDCS,"UNVERIFIED — J Neurosci? / Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Aphasia (post-stroke),Null,,Volpato,Italy,2013,Restor Neurol Neurosci,Anodal frontal tDCS in chronic aphasia (no naming gain),RCT crossover (n=8),Valid negative,Anodal,Left frontal,Right supraorbital,2,35,0.057,20,10,☹ No significant naming improvement,https://pubmed.ncbi.nlm.nih.gov/?term=Volpato%202013%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Fibromyalgia + exercise,,Mendonca,Brazil,2016,Front Hum Neurosci,Anodal M1 tDCS + aerobic exercise for fibromyalgia,RCT (n=45),Combined arms,Anodal,M1 (C3),Contralateral supraorbital,2,35,0.057,20,5,☺ tDCS + exercise ↓ pain most,https://pubmed.ncbi.nlm.nih.gov/?term=Mendonca%202016%20tDCS,"VERIFIED (PMC4785149, Front Hum Neurosci 2016): 35 cm², 2 mA, 20 min, 5 sessions, C3 (M1) anode / contralateral supraorbital cathode [all confirmed]",,,
,Chronic pain,Fibromyalgia (null),,Riberto,Brazil,2011,Open Rheumatol J,Anodal M1 tDCS + rehab for fibromyalgia,RCT (n=23),Adjunct to rehab,Anodal,M1 (C3),Contralateral supraorbital,2,35,0.057,20,10,☹ ↑ QoL but no sig. pain reduction,https://pubmed.ncbi.nlm.nih.gov/?term=Riberto%202011%20tDCS,"UNVERIFIED — Open Rheumatol J full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Low back pain (null),,Luedtke,Germany,2015,Pain,Anodal M1 tDCS before CBT for chronic low back pain,RCT (n=135),Large negative,Anodal,M1,Contralateral supraorbital,2,35,0.057,20,5,☹ No benefit over sham,https://pubmed.ncbi.nlm.nih.gov/?term=Luedtke%202015%20tDCS,"UNVERIFIED — Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Knee osteoarthritis (HD),,Ahn,USA,2017,Clin J Pain,HD-tDCS of M1 reduces knee-osteoarthritis pain,RCT (n=40),"Older adults, HD montage",Anodal,M1 (C3/C4) 4×1,4× surround,2,HD 4×1,—,20,5,☺ ↓ clinical pain vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Ahn%202017%20tDCS,"UNVERIFIED — Clin J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Experimental (healthy),,Boggio,Brazil,2008,Eur J Neurosci? / Pain,Anodal M1/DLPFC tDCS raises pain thresholds in healthy adults,Crossover healthy,Mechanism,Anodal,M1 / DLPFC,Contralateral supraorbital,2,35,0.057,5,1,☺ ↑ pain threshold (M1 & DLPFC),https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202008%20tDCS,"UNVERIFIED — Eur J Neurosci? / Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Migraine,,Auvichayapat,Thailand,2012,J Med Assoc Thai,Anodal M1 tDCS for migraine prophylaxis,RCT (n=..),M1 target,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,20,20,☺ ↓ attack frequency & intensity,https://pubmed.ncbi.nlm.nih.gov/?term=Auvichayapat%202012%20tDCS,"UNVERIFIED — J Med Assoc Thai full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Migraine (home),,Andrade,Brazil,2017,J Neural Transm,Anodal M1 home-based tDCS for chronic migraine,RCT (n=13),Home use,Anodal,M1,Contralateral supraorbital,2,35,0.057,20,12,☺ (modest) ↓ migraine burden,https://pubmed.ncbi.nlm.nih.gov/?term=Andrade%202017%20tDCS,"UNVERIFIED — J Neural Transm full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Cerebellar/M1,,Ferrucci,Italy,2016,Cerebellum,Cerebellar & motor-cortex tDCS in Parkinson's disease,RCT crossover (n=9),Two targets,Anodal,Cerebellum / M1,Deltoid / supraorbital,2,35,0.057,20,5,☺ (modest) ↑ some motor measures,https://pubmed.ncbi.nlm.nih.gov/?term=Ferrucci%202016%20tDCS,"UNVERIFIED — Cerebellum full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Verbal fluency,,Pereira,Portugal,2013,Brain Stimul,DLPFC tDCS enhances verbal-fluency networks in Parkinson's,Crossover (n=16),fMRI,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,1,☺ ↑ phonemic fluency; network change,https://pubmed.ncbi.nlm.nih.gov/?term=Pereira%202013%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Depression in PD,,Manenti,Italy,2016,Mov Disord,Anodal DLPFC tDCS + physical therapy for depression in PD,RCT (n=20),Mood + motor,Anodal,Left DLPFC (F3),Right deltoid,2,35,0.057,20,10,☺ ↓ depression; motor gains,https://pubmed.ncbi.nlm.nih.gov/?term=Manenti%202016%20tDCS,"UNVERIFIED — Mov Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Schizophrenia,Working memory,,Gomes,Brazil,2018,J ECT / Schizophr Res,Anodal left-DLPFC tDCS improves working memory in schizophrenia,RCT (n=..),Cognitive outcome,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,☺ ↑ working memory vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Gomes%202018%20tDCS,"UNVERIFIED — J ECT / Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
