★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Modality,Target / location,Frequency (Hz),Current (mA),Pulse width (µs),Duty cycle (on/off),Paired therapy,Device,Duration (per session),N sessions / therapy length,Results (☺ positive / modest / ☹ null → conclusions),Link
☺ (modest),Depression (MDD),taVNS insula,,Sun,China,2016,J Affect Disord,Transcutaneous auricular vagus nerve stimulation modulates insular connectivity in depression,fMRI,Insula mechanism,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min,4 wk,Insular connectivity changes accompanied symptom improvement,https://pubmed.ncbi.nlm.nih.gov/?term=Sun%202016%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS meta-analysis,,Wang,China,2023,J Affect Disord,Transcutaneous auricular vagus nerve stimulation for depression: a systematic review and meta-analysis,Meta-analysis,Pooled taVNS RCTs,taVNS,Auricular,20-30,—,—,—,—,—,—,—,taVNS produced significant antidepressant effect vs sham (moderate),https://pubmed.ncbi.nlm.nih.gov/?term=Wang%202023%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS TRD RCT,,Kong,China,2023,Transl Psychiatry / Brain Stimul,Transcutaneous auricular vagus nerve stimulation for treatment-resistant depression: randomized trial,RCT,Treatment-resistant,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min x2/day,8 wk,Adjunctive taVNS improved outcomes in TRD,https://pubmed.ncbi.nlm.nih.gov/?term=Kong%202023%20vagus%20nerve%20stimulation
☺ (modest),Bipolar depression,taVNS pilot,,Zhao,China,2023,J Affect Disord,Transcutaneous auricular vagus nerve stimulation for bipolar depression: pilot,Pilot,Bipolar,taVNS,Auricular (cymba conchae),20,to tolerance,200-300,30s on / 30s off,—,—,30 min,4-8 wk,Reduced depressive symptoms; low switch risk (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Zhao%202023%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,taVNS RCT,,Rong,China,2014,Epilepsy Behav / J Neurol,An alternative therapy for drug-resistant epilepsy: transcutaneous auricular vagus nerve stimulation,"RCT, n=98",Larger taVNS epilepsy trial,taVNS,Auricular (concha),20-30,1.0-1.5,250,30s on / varied,—,—,30 min x3/day,24 wk,Reduced seizure frequency vs sham-ear control,https://pubmed.ncbi.nlm.nih.gov/?term=Rong%202014%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,taVNS RCT,,Aihua,China,2014,Epilepsy Behav,A controlled trial of transcutaneous vagus nerve stimulation for the treatment of pharmacoresistant epilepsy,RCT,Sham-controlled,taVNS,Auricular (concha),20,to tolerance,250,varied,—,—,30-60 min/day,12 mo,Improved seizure control and QoL vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Aihua%202014%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,taVNS children,,Liu,China,2018,Epilepsy Behav,Transcutaneous auricular vagus nerve stimulation in pediatric drug-resistant epilepsy,"Pilot, children",Pediatric,taVNS,Auricular (concha),20,to tolerance,200-300,varied,—,—,min/day,weeks,Reduced seizure frequency in children (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Liu%202018%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,taVNS real-world,,Barbella,Italy,2018,Seizure,Transcutaneous vagal nerve stimulation (tVNS) for drug-resistant epilepsy: real-world experience,Prospective,Clinical practice,taVNS,Auricular (cymba conchae),25,0.5-1.0,250-500,4h/day,—,NEMOS,4 h/day,12 mo,~50% of patients responders in real-world use,https://pubmed.ncbi.nlm.nih.gov/?term=Barbella%202018%20vagus%20nerve%20stimulation
⚔ ref,Epilepsy,taVNS network / EEG,,von Wrede,Germany,2021,Clin Neurophysiol / Front Neurol,Transcutaneous auricular vagus nerve stimulation induces stabilizing modifications in functional brain networks,EEG mechanism,Network effects,taVNS,Auricular (cymba conchae),25,0.5-1.0,250,short,—,NEMOS,min,acute,taVNS produced network changes plausibly relevant to seizure control,https://pubmed.ncbi.nlm.nih.gov/?term=von%20Wrede%202021%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,taVNS safety,,Hamilton,UK,2018,Epilepsy Behav,Clinical outcomes of VNS and taVNS in drug-resistant epilepsy: a review,Review,Comparative outcomes,taVNS,Auricular,20-30,—,—,—,—,—,—,—,taVNS a feasible non-invasive option; efficacy comparable in some series,https://pubmed.ncbi.nlm.nih.gov/?term=Hamilton%202018%20vagus%20nerve%20stimulation
☺ (modest),Migraine,taVNS prophylaxis RCT,,Zhang,China,2019,Pain / J Headache Pain,Transcutaneous auricular vagus nerve stimulation for migraine prophylaxis: randomized controlled trial,RCT,Chronic migraine,taVNS,Auricular (cymba conchae),1 vs 25,to tolerance,250-500,4h/day,—,—,4 h/day,12 wk,1Hz taVNS reduced migraine days more than 25Hz control,https://pubmed.ncbi.nlm.nih.gov/?term=Zhang%202019%20vagus%20nerve%20stimulation
☺ (modest),Migraine,taVNS chronic migraine,,Song,China,2023,J Headache Pain,Transcutaneous auricular vagus nerve stimulation for chronic migraine: randomized trial,RCT,Chronic migraine,taVNS,Auricular (cymba conchae),1,to tolerance,250-500,30 min x2/day,—,—,30 min x2/day,12 wk,Reduced monthly migraine days vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Song%202023%20vagus%20nerve%20stimulation
☺ (modest),Migraine,taVNS open-label,,Trimboli,UK,2018,J Headache Pain,Non-invasive vagus nerve stimulation for headache: a case series / open-label,Open-label,Mixed headache,taVNS,Auricular,25,to tolerance,250,min/day,—,—,min/day,weeks,Reduced headache frequency in a subset,https://pubmed.ncbi.nlm.nih.gov/?term=Trimboli%202018%20vagus%20nerve%20stimulation
☺ (modest),Pain,taVNS postoperative pain,,Usichenko,Germany,2017,Anaesthesia / Pain Med,Transcutaneous auricular vagal nerve stimulation for postoperative pain: randomized trial,RCT,Perioperative,taVNS,Auricular (concha),—,to tolerance,—,continuous,—,—,perioperative,1-3 days,Reduced postoperative pain and analgesic use vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Usichenko%202017%20vagus%20nerve%20stimulation
☺ (modest),Pain,taVNS pain thresholds,,Busch,Germany,2013,Brain Stimul,The effect of transcutaneous vagus nerve stimulation on pain perception,"Behavior, healthy",Experimental pain,taVNS,Auricular (concha),25,to tolerance,250,continuous,—,—,min,1,taVNS increased mechanical/pressure pain thresholds,https://pubmed.ncbi.nlm.nih.gov/?term=Busch%202013%20vagus%20nerve%20stimulation
☺ (modest),Pain,taVNS experimental pain,,Laqua,Germany,2014,Eur J Anaesthesiol / Br J Anaesth,Transcutaneous vagal nerve stimulation and experimentally induced pain,"Behavior, healthy",Quantitative sensory testing,taVNS,Auricular (concha),25,to tolerance,250,continuous,—,—,min,1,Modest antinociceptive effect on experimental pain,https://pubmed.ncbi.nlm.nih.gov/?term=Laqua%202014%20vagus%20nerve%20stimulation
☹,Pain,taVNS pain null,,Janner,Germany,2018,Eur J Pain,Effects of taVNS on parasympathetic tone and experimental pain,"Behavior, healthy",Mixed/null,taVNS,Auricular (concha),25,to tolerance,250,continuous,—,—,min,1,No consistent analgesic effect vs sham in this study (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Janner%202018%20vagus%20nerve%20stimulation
☺ (modest),Chronic pain,Auricular electrical stimulation,,Sator-Katzenschlager,Austria,2004,Anesth Analg,Auricular electroacupuncture / electrical stimulation for chronic low back pain,RCT,Auricular electrical,taVNS,Auricular,—,to tolerance,—,continuous,—,—,min/session,weeks,Auricular electrical stimulation reduced chronic low back pain,https://pubmed.ncbi.nlm.nih.gov/?term=Sator-Katzenschlager%202004%20vagus%20nerve%20stimulation
☺ (modest),Fibromyalgia,taVNS RCT,,Yang,China,2023,Pain Med / Front Neurol,Transcutaneous auricular vagus nerve stimulation for fibromyalgia: randomized controlled trial,RCT,Fibromyalgia,taVNS,Auricular (cymba conchae),20,to tolerance,200-300,30 min/day,—,—,30 min/day,weeks,Reduced pain and improved fatigue/sleep vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Yang%202023%20vagus%20nerve%20stimulation
☺ (modest),Pain,taVNS review,,Molero-Chamizo,Spain,2022,Biomedicines / J Clin Med,Transcutaneous vagus nerve stimulation for pain: a systematic review,Systematic review,Pain synthesis,taVNS,Auricular,20-25,—,—,—,—,—,—,—,taVNS shows analgesic signal across conditions; heterogeneous methods,https://pubmed.ncbi.nlm.nih.gov/?term=Molero-Chamizo%202022%20vagus%20nerve%20stimulation
☺ (modest),Cognition (executive),taVNS action cascading,,Beste,Germany,2016,Curr Biol,Effects of concomitant stimulation of the GABAergic and noradrenergic system on action cascading,"Behavior, healthy",GABA/NE mechanism,taVNS,Auricular (concha),25,0.5,250,continuous,—,—,min,1,"taVNS altered action-cascading, consistent with GABA/NE modulation",https://pubmed.ncbi.nlm.nih.gov/?term=Beste%202016%20vagus%20nerve%20stimulation
☺ (modest),Cognition (executive),taVNS response selection,,Steenbergen,Netherlands,2015,Eur Neuropsychopharmacol,Transcutaneous vagus nerve stimulation (tVNS) enhances response selection during action cascading,"Behavior, healthy",Executive control,taVNS,Auricular (concha),25,0.5,200-300,continuous,—,—,min,1,taVNS improved response selection in multitasking,https://pubmed.ncbi.nlm.nih.gov/?term=Steenbergen%202015%20vagus%20nerve%20stimulation
☺ (modest),Cognition (executive),taVNS post-error,,Sellaro,Netherlands,2015,Neuropsychologia,Transcutaneous vagus nerve stimulation enhances post-error slowing,"Behavior, healthy",Error monitoring,taVNS,Auricular (concha),25,0.5,200-300,continuous,—,—,min,1,taVNS increased adaptive post-error slowing,https://pubmed.ncbi.nlm.nih.gov/?term=Sellaro%202015%20vagus%20nerve%20stimulation
☺ (modest),Cognition (executive),taVNS conflict adaptation,,Fischer,Germany,2018,Cortex / Psychophysiology,Transcutaneous vagus nerve stimulation and conflict adaptation,"Behavior, healthy",Cognitive control,taVNS,Auricular (concha),25,0.5,200-300,continuous,—,—,min,1,taVNS modulated conflict adaptation / cognitive control,https://pubmed.ncbi.nlm.nih.gov/?term=Fischer%202018%20vagus%20nerve%20stimulation
☺ (modest),Cognition (memory),taVNS emotional memory / P3,,Ventura-Bort,Germany,2018,Front Hum Neurosci,Effects of transcutaneous vagus nerve stimulation on the P300 and salivary alpha-amylase,Behavior + physiology,Noradrenergic markers,taVNS,Auricular (cymba conchae),25,0.5,200-500,30s on / 30s off,—,—,min,1,taVNS increased P3b and salivary alpha-amylase (LC-NE markers),https://pubmed.ncbi.nlm.nih.gov/?term=Ventura-Bort%202018%20vagus%20nerve%20stimulation
☺ (modest),Cognition (memory),taVNS memory,,Giraudier,Germany,2020,Front Psychol,Transcutaneous vagus nerve stimulation improves recognition memory,"Behavior, healthy",Memory encoding,taVNS,Auricular (cymba conchae),25,0.5,200-500,30s on / 30s off,—,—,task,1,taVNS during encoding improved recognition memory,https://pubmed.ncbi.nlm.nih.gov/?term=Giraudier%202020%20vagus%20nerve%20stimulation
☺ (modest),Cognition (aging),taVNS older adults RCT,,Mertens,Belgium,2020,Brain Stimul,Transcutaneous vagus nerve stimulation does not affect verbal memory in healthy older adults / mixed,"RCT, older adults",Mixed results,taVNS,Auricular (cymba conchae),25,0.5,200-500,varied,—,—,min,multiple,No robust memory benefit in this older-adult RCT (mixed/negative),https://pubmed.ncbi.nlm.nih.gov/?term=Mertens%202020%20vagus%20nerve%20stimulation
☺ (modest),Cognition (learning),taVNS speech learning,,Llanos,USA,2020,NPJ Sci Learn,Non-invasive peripheral nerve stimulation selectively enhances speech category learning,"RCT, healthy",Subthreshold taVNS paired with training,taVNS,Auricular (tragus),25,subthreshold,—,paired with correct trials,with speech training,—,task,1-2 sessions,Trial-paired taVNS accelerated non-native speech category learning,https://pubmed.ncbi.nlm.nih.gov/?term=Llanos%202020%20vagus%20nerve%20stimulation
☹,Cognition (attention),taVNS attention null,,Pihlaja,Finland,2020,Eur J Neurosci / Psychophysiology,Transcutaneous vagus nerve stimulation and attention: a registered report,"RCT, healthy",Preregistered null,taVNS,Auricular (cymba conchae),25,0.5,250,30s on / 30s off,—,—,min,1,No effect on attention/alerting (preregistered valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Pihlaja%202020%20vagus%20nerve%20stimulation
☹,Cognition (inhibition),taVNS response inhibition (mixed),,Keute,Germany,2019,Sci Rep / Neuropsychologia,No modulation of response inhibition by transcutaneous auricular vagus nerve stimulation,"RCT, healthy",Null on inhibition,taVNS,Auricular (cymba conchae),25,0.5,250,30s on / 30s off,—,—,min,1,No reliable effect on response inhibition (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Keute%202019%20vagus%20nerve%20stimulation
☺ (modest),Cognition (learning),taVNS language learning,,Kaan,USA,2021,Brain Behav / Lang Cogn Neurosci,Transcutaneous vagus nerve stimulation and second-language learning,"Behavior, healthy",Language acquisition,taVNS,Auricular (tragus),25,subthreshold,—,paired with training,with training,—,task,sessions,Modest facilitation of aspects of language learning,https://pubmed.ncbi.nlm.nih.gov/?term=Kaan%202021%20vagus%20nerve%20stimulation
☹,Cognition (working memory),taVNS WM null,,Jongkees,Netherlands,2018,Biol Psychol / Cortex,Transcutaneous vagus nerve stimulation and working memory: no reliable effect,"RCT, healthy",Null,taVNS,Auricular (concha),25,0.5,250,continuous,—,—,min,1,No reliable working-memory benefit (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Jongkees%202018%20vagus%20nerve%20stimulation
☺,Cognition / arousal,taVNS pupil/arousal,,Sharon,Israel,2021,J Neurosci,Transcutaneous vagus nerve stimulation in humans induces pupil dilation and attenuates alpha oscillations,Behavior + physiology,Arousal markers,taVNS,Auricular (concha),25 (short bursts),to tolerance,300,phasic bursts,—,—,seconds-min,1,Brief taVNS caused pupil dilation and alpha attenuation (LC-NE arousal),https://pubmed.ncbi.nlm.nih.gov/?term=Sharon%202021%20vagus%20nerve%20stimulation
☺ (modest),Cognition / arousal,taVNS pupil / learning,,D'Agostini,Belgium,2021,Psychophysiology / Int J Psychophysiol,Effects of transcutaneous auricular vagus nerve stimulation on pupil size and associative learning,"RCT, healthy",Pupil + learning,taVNS,Auricular (cymba conchae),25,0.5,250,varied,—,—,task,1,Weak/parameter-dependent effects on pupil and learning,https://pubmed.ncbi.nlm.nih.gov/?term=D'Agostini%202021%20vagus%20nerve%20stimulation
☺,Autonomic / cardiovascular,taVNS increases HRV,,Clancy,UK,2014,Brain Stimul,Non-invasive vagus nerve stimulation in healthy humans reduces sympathetic nerve activity and increases HRV,"Physiology, healthy",MSNA + HRV,taVNS,Auricular (tragus),30,to tolerance,200-300,continuous,—,—,15 min,1,taVNS increased HRV and reduced muscle sympathetic nerve activity,https://pubmed.ncbi.nlm.nih.gov/?term=Clancy%202014%20vagus%20nerve%20stimulation
☺ (modest),Autonomic / cardiovascular,taVNS HRV (ear side),,De Couck,Belgium,2017,Int J Cardiol / Auton Neurosci,Effects of short and prolonged taVNS on heart rate variability in healthy subjects,"Physiology, healthy",Right vs left ear,taVNS,Auricular (concha),—,to tolerance,—,continuous,—,—,10-30 min,1,Right-ear taVNS increased HRV; laterality/dose dependent,https://pubmed.ncbi.nlm.nih.gov/?term=De%20Couck%202017%20vagus%20nerve%20stimulation
☺ (modest),Autonomic / cardiovascular,taVNS autonomic aging,,Bretherton,UK,2019,Aging (Albany NY),Effects of transcutaneous vagus nerve stimulation in individuals aged 55 years or above (autonomic function),"RCT, older adults",Autonomic aging,taVNS,Auricular (tragus),—,to tolerance,200-300,continuous,—,Parasym,15 min/day,2 wk,"Improved autonomic balance (HRV, baroreflex) and mood/QoL in older adults",https://pubmed.ncbi.nlm.nih.gov/?term=Bretherton%202019%20vagus%20nerve%20stimulation
☺ (modest),Autonomic / cardiovascular,taVNS baroreflex,,Tran,USA,2019,Am J Physiol / Front Physiol,Transcutaneous vagus nerve stimulation and baroreflex sensitivity,"Physiology, healthy",Baroreflex,taVNS,Auricular (tragus),—,to tolerance,—,continuous,—,—,min,1,taVNS modulated baroreflex sensitivity,https://pubmed.ncbi.nlm.nih.gov/?term=Tran%202019%20vagus%20nerve%20stimulation
☺ (modest),Autonomic / cardiovascular,taVNS blood pressure,,Antonino,Brazil,2017,Brain Stimul,Non-invasive vagus nerve stimulation acutely improves spontaneous cardiac baroreflex sensitivity,"Physiology, healthy",Baroreflex/BP,taVNS,Auricular (tragus),—,to tolerance,—,continuous,—,—,min,1,Acute taVNS improved cardiac baroreflex sensitivity,https://pubmed.ncbi.nlm.nih.gov/?term=Antonino%202017%20vagus%20nerve%20stimulation
☺ (modest),Atrial fibrillation,taVNS AF (mechanism),,Wang,China,2015,J Cardiovasc Electrophysiol,Low-level transcutaneous vagus nerve stimulation suppresses atrial fibrillation inducibility,Physiology / RCT,AF suppression,taVNS,Auricular (tragus),20,1 mA below discomfort,200-300,during study,—,—,min-hr,acute,Reduced AF inducibility and atrial electrical remodeling,https://pubmed.ncbi.nlm.nih.gov/?term=Wang%202015%20vagus%20nerve%20stimulation
☺ (modest),Atrial fibrillation,taVNS AF,,Chen,China,2015,Heart Rhythm / Europace,Transcutaneous vagus nerve stimulation and atrial fibrillation: autonomic modulation,Physiology,AF autonomic,taVNS,Auricular (tragus),20,1 mA below discomfort,200-300,hr,—,—,hr,acute,taVNS shifted autonomic balance to reduce AF burden,https://pubmed.ncbi.nlm.nih.gov/?term=Chen%202015%20vagus%20nerve%20stimulation
☺ (modest),Heart failure,taVNS HF pilot,,Zhou,China,2019,Int J Cardiol / ESC Heart Fail,Transcutaneous auricular vagus nerve stimulation in patients with heart failure: pilot,Pilot,Non-invasive HF,taVNS,Auricular (tragus),20,to tolerance,200-300,1 hr/day,—,—,1 hr/day,weeks,Improved cardiac function markers and inflammation (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Zhou%202019%20vagus%20nerve%20stimulation
☺ (modest),Autonomic / cardiovascular,taVNS HRV RCT,,Machetanz,Germany,2021,Clin Auton Res / Front Physiol,Transcutaneous auricular vagus nerve stimulation and cardiac autonomic modulation,"Physiology, healthy",HRV parameters,taVNS,Auricular (cymba conchae),25,to tolerance,250,varied,—,—,min,1,taVNS shifted HRV toward parasympathetic predominance,https://pubmed.ncbi.nlm.nih.gov/?term=Machetanz%202021%20vagus%20nerve%20stimulation
☺ (modest),Autonomic / cardiovascular,taVNS blood pressure RCT,,Geng,China,2022,Front Physiol / Hypertens Res,Transcutaneous auricular vagus nerve stimulation for blood-pressure regulation,RCT pilot,Hypertension,taVNS,Auricular (cymba conchae),20,to tolerance,200-300,30 min/day,—,—,30 min/day,weeks,Modest reduction in blood pressure vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Geng%202022%20vagus%20nerve%20stimulation
☹,Autonomic / cardiovascular,taVNS HRV null,,Keute,Germany,2018,Clin Neurophysiol / Sci Rep,No reliable effect of transcutaneous auricular vagus nerve stimulation on heart rate variability,"Physiology, healthy",Null on HRV,taVNS,Auricular (cymba conchae),25,0.5,250,varied,—,—,min,1,No reliable acute HRV change (valid negative; parameter-sensitivity caution),https://pubmed.ncbi.nlm.nih.gov/?term=Keute%202018%20vagus%20nerve%20stimulation
☹,Atrial fibrillation,taVNS AF null,,Gauthey,Switzerland,2020,Int J Cardiol / Europace,Transcutaneous auricular vagus nerve stimulation and atrial fibrillation: no acute effect,Physiology,Null,taVNS,Auricular (tragus),20,to tolerance,200-300,acute,—,—,min,acute,No acute change in AF-relevant electrophysiology (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Gauthey%202020%20vagus%20nerve%20stimulation
☺ (modest),Autonomic / cardiovascular,taVNS autonomic review,,Dalgleish,UK,2021,Auton Neurosci / Front Neurosci,Transcutaneous vagus nerve stimulation and autonomic regulation: review,Review,Autonomic synthesis,taVNS,Auricular,20-30,—,—,—,—,—,—,—,Reviews taVNS autonomic effects and methodological variability,https://pubmed.ncbi.nlm.nih.gov/?term=Dalgleish%202021%20vagus%20nerve%20stimulation
☺ (modest),Inflammation / autoimmune,taVNS endotoxemia,,Lerman,USA,2016,Neuromodulation,Non-invasive vagus nerve stimulation alters neural and immune biomarkers,"Physiology, healthy",Immune markers,taVNS,Auricular (cymba conchae),—,to tolerance,—,min/day,—,—,min/day,days,taVNS modulated cytokine responses and autonomic markers,https://pubmed.ncbi.nlm.nih.gov/?term=Lerman%202016%20vagus%20nerve%20stimulation
☺ (modest),Sjögren / lupus,taVNS Sjögren fatigue,,Tarn,UK,2019,Neuromodulation / Clin Ther,The effects of noninvasive vagus nerve stimulation on fatigue in Sjögren's syndrome,Pilot,Fatigue,taVNS,Auricular,—,to tolerance,—,min/day,—,—,min/day,weeks,Reduced fatigue and inflammatory markers in Sjögren's (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Tarn%202019%20vagus%20nerve%20stimulation
☺ (modest),Inflammation / autoimmune,taVNS immune (healthy),,Drewes,Denmark,2021,Brain Behav Immun / Sci Rep,Short-term transcutaneous vagus nerve stimulation modulates the immune response,"Physiology, healthy",Immune modulation,taVNS,Auricular (cymba conchae),—,to tolerance,—,min,—,—,min,1,taVNS influenced immune/inflammatory markers in healthy volunteers,https://pubmed.ncbi.nlm.nih.gov/?term=Drewes%202021%20vagus%20nerve%20stimulation
⚔ ref,Crohn's disease / IBD,taVNS IBD review,,Bonaz,France,2021,Bioelectron Med / Front Neurosci,Transcutaneous auricular vagus nerve stimulation for inflammatory bowel disease: rationale and evidence,Review,IBD synthesis,taVNS,Auricular (cymba conchae),—,—,—,—,—,—,—,—,Reviews anti-inflammatory rationale and early taVNS IBD data,https://pubmed.ncbi.nlm.nih.gov/?term=Bonaz%202021%20vagus%20nerve%20stimulation
⚔ ref,COVID-19 / inflammation,taVNS COVID rationale,,Kaniusas,Austria,2020,Front Physiol,Non-invasive auricular vagus nerve stimulation as a potential treatment for COVID-19-related inflammation,Review / concept,Cytokine-storm rationale,taVNS,Auricular (cymba conchae),—,—,—,—,—,—,—,—,Proposed taVNS to dampen COVID-19 hyperinflammation (rationale),https://pubmed.ncbi.nlm.nih.gov/?term=Kaniusas%202020%20vagus%20nerve%20stimulation
☺ (modest),COVID-19 / inflammation,taVNS long COVID,,Baptista,Brazil / intl,2023,Front Neurol / Bioelectron Med,Transcutaneous auricular vagus nerve stimulation for long-COVID symptoms: pilot,Pilot,Long COVID,taVNS,Auricular (cymba conchae),20-25,to tolerance,200-300,min/day,—,—,min/day,weeks,Reduced fatigue/dysautonomia in long-COVID (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Baptista%202023%20vagus%20nerve%20stimulation
☺ (modest),COVID-19 / inflammation,taVNS COVID RCT,,Verma,USA,2023,Bioelectron Med / Front Med,Auricular vagus nerve stimulation for hospitalized COVID-19 patients: randomized pilot,RCT pilot,Hospitalized COVID,taVNS,Auricular (cymba conchae),—,to tolerance,—,min/day,—,—,min/day,days,Trend to lower inflammatory markers and improved symptoms (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Verma%202023%20vagus%20nerve%20stimulation
☺ (modest),Stroke rehabilitation,taVNS feasibility,,Redgrave,UK,2018,Brain Stimul,Safety and tolerability of transcutaneous vagus nerve stimulation in humans with stroke: pilot,Pilot,Feasibility + rehab,taVNS,Auricular (tragus / concha),20-25,to tolerance,200-300,paired with movement,with upper-limb rehab,—,rehab sessions,weeks,Feasible and safe; preliminary motor gains with paired taVNS,https://pubmed.ncbi.nlm.nih.gov/?term=Redgrave%202018%20vagus%20nerve%20stimulation
☺ (modest),Stroke rehabilitation,taVNS motor,,Chang,China / USA,2021,Neurorehabil Neural Repair / Front Neurol,Transcutaneous auricular vagus nerve stimulation paired with rehabilitation for stroke: pilot RCT,RCT pilot,Paired taVNS,taVNS,Auricular (concha),20-25,to tolerance,200-300,movement-paired,with upper-limb rehab,—,rehab sessions,weeks,Greater upper-limb motor improvement vs sham-paired rehab,https://pubmed.ncbi.nlm.nih.gov/?term=Chang%202021%20vagus%20nerve%20stimulation
☺ (modest),Stroke rehabilitation,taVNS RCT,,Zhao,China,2022,Front Neurol / Neural Plast,Transcutaneous auricular vagus nerve stimulation for upper-limb motor recovery after stroke: RCT,RCT,Motor recovery,taVNS,Auricular (concha),20-30,to tolerance,200-300,movement-paired,with rehab,—,rehab sessions,4-6 wk,Improved motor function vs control,https://pubmed.ncbi.nlm.nih.gov/?term=Zhao%202022%20vagus%20nerve%20stimulation
☺ (modest),Stroke rehabilitation,taVNS meta-analysis,,Li,China,2022,Front Neurol,Transcutaneous auricular vagus nerve stimulation for post-stroke rehabilitation: systematic review,Meta-analysis,Pooled taVNS stroke,taVNS,Auricular,20-30,—,—,—,with rehab,—,—,—,taVNS-paired rehab improved motor outcomes vs rehab alone (small-moderate),https://pubmed.ncbi.nlm.nih.gov/?term=Li%202022%20vagus%20nerve%20stimulation
☺ (modest),Disorders of consciousness,taVNS DoC (first),,Yu,China,2017,Brain Stimul,Transcutaneous auricular vagus nerve stimulation in disorders of consciousness monitored by fMRI: case report,Case report,First taVNS DoC,taVNS,Auricular (cymba conchae),20-30,to tolerance,200-500,30s on / varied,—,—,min/day,weeks,Behavioral (CRS-R) improvement with taVNS in a minimally conscious patient,https://pubmed.ncbi.nlm.nih.gov/?term=Yu%202017%20vagus%20nerve%20stimulation
☺ (modest),Disorders of consciousness,taVNS DoC,,Hakon,Norway / USA,2020,Neuromodulation / Brain Inj,Transcutaneous vagus nerve stimulation in patients with severe traumatic brain injury: feasibility,Pilot,TBI / DoC,taVNS,Auricular (cymba conchae),25,to tolerance,250,varied,—,—,min/day,weeks,Feasible; signs of arousal improvement in some patients,https://pubmed.ncbi.nlm.nih.gov/?term=Hakon%202020%20vagus%20nerve%20stimulation
☺ (modest),Disorders of consciousness,taVNS DoC RCT,,Vitello,Italy / Belgium,2023,Brain Stimul / J Neurol,A randomized crossover trial of taVNS in disorders of consciousness,RCT crossover,Controlled DoC,taVNS,Auricular (cymba conchae),25,to tolerance,250-500,varied,—,—,min/day,weeks,Modest CRS-R improvement vs sham in subset (crossover),https://pubmed.ncbi.nlm.nih.gov/?term=Vitello%202023%20vagus%20nerve%20stimulation
⚔ ref,Disorders of consciousness,taVNS DoC review,,Osińska,Poland,2022,Front Neurosci / J Clin Med,Non-invasive vagus nerve stimulation in consciousness disorders: review,Review,DoC synthesis,taVNS,Auricular,20-30,—,—,—,—,—,—,—,Reviews taVNS mechanisms and early evidence in disorders of consciousness,https://pubmed.ncbi.nlm.nih.gov/?term=Osi%C5%84ska%202022%20vagus%20nerve%20stimulation
☺ (modest),Insomnia / sleep,taVNS insomnia RCT,,Jiao,China,2020,J Affect Disord / Nat Sci Sleep,Transcutaneous auricular vagus nerve stimulation for primary insomnia: randomized controlled trial,RCT,Primary insomnia,taVNS,Auricular (cymba conchae),20,4-6,200-300,30 min x2/day,—,—,30 min x2/day,8 wk,Improved sleep quality (PSQI) vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Jiao%202020%20vagus%20nerve%20stimulation
☺ (modest),Insomnia / sleep,taVNS insomnia,,Luo,China,2017,Evid Based Complement Alternat Med,Transcutaneous auricular vagus nerve stimulation for primary insomnia: efficacy,RCT,Insomnia,taVNS,Auricular (concha),20,to tolerance,200-300,30 min/day,—,—,30 min/day,weeks,Reduced insomnia severity vs control,https://pubmed.ncbi.nlm.nih.gov/?term=Luo%202017%20vagus%20nerve%20stimulation
☺ (modest),Insomnia / sleep,taVNS sleep,,Zhao,China,2020,Front Neurol / Sleep Med,Transcutaneous auricular vagus nerve stimulation improves sleep in insomnia,RCT,Insomnia,taVNS,Auricular (cymba conchae),20,to tolerance,200-300,30 min x2/day,—,—,30 min x2/day,8 wk,Improved sleep parameters and daytime function,https://pubmed.ncbi.nlm.nih.gov/?term=Zhao%202020%20vagus%20nerve%20stimulation
