★	Category	Subcategory		First author	Country	Year	Journal	Title	Study type	Notes	Coil type	Target site	Stim type	Freq (Hz)	Intensity (%MT)	Pulses / session	Total pulses (course)	Localization	t / session	N sessions	Results (☺ positive / modest / ☹ null → conclusions)	Link
☺ (modest)	Trigeminal / facial pain	M1 rTMS		Khedr	Egypt	2005	J Neurol Neurosurg Psychiatry	M1 rTMS for trigeminal neuralgia and post-stroke pain	RCT	20Hz M1 (face area)	Figure-8	Motor cortex (M1, face)	rTMS	20	80% RMT	2000	—	motor hotspot	—	5	Reduced facial neuropathic pain vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202005%20TMS
☺ (modest)	Spinal cord injury pain	M1 rTMS		Defrin	Israel	2007	Pain	HF rTMS of motor cortex for chronic pain after spinal cord injury	RCT	5-10Hz M1	Figure-8	Motor cortex (M1)	rTMS	5-10	—	—	—	motor hotspot	—	10	Reduced SCI neuropathic pain in some patients	https://pubmed.ncbi.nlm.nih.gov/?term=Defrin%202007%20TMS
☺ (modest)	Fibromyalgia	M1 rTMS maintenance		Mhalla	France	2011	Pain	rTMS of M1 for fibromyalgia: long-term maintenance study	RCT	HF M1 induction + maintenance	Figure-8	Left M1	rTMS	10	80% RMT	1500	—	navigation	—	induction + monthly	Sustained pain relief with maintenance sessions	https://pubmed.ncbi.nlm.nih.gov/?term=Mhalla%202011%20TMS
☺ (modest)	Stroke – Motor	HF vs LF early RCT		Sasaki	Japan	2013	J Stroke Cerebrovasc Dis	HF vs LF rTMS on upper-limb hemiparesis in early-phase stroke	RCT	Both frequencies	Figure-8	Ipsilesional / contralesional M1	rTMS	1 / 10	90-110% RMT	—	—	motor hotspot	—	multiple	HF ipsilesional and LF contralesional both improved upper-limb function	https://pubmed.ncbi.nlm.nih.gov/?term=Sasaki%202013%20TMS
☺ (modest)	Stroke – Motor (leg)	Deep TMS leg area		Chieffo	Italy	2014	Neurorehabil Neural Repair	Excitatory deep rTMS of the leg motor area for lower-limb recovery after stroke	RCT	H-coil leg area	H-coil	Leg motor cortex	dTMS	20	90% RMT	—	—	navigation	—	multiple	Improved lower-limb motor function vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Chieffo%202014%20TMS
☺	Stroke – Motor	Long-term follow-up		Khedr	Egypt	2010	Acta Neurol Scand	Long-term effect of rTMS on motor recovery after acute ischemic stroke	RCT / follow-up	Durability of early rTMS	Figure-8	Ipsilesional M1	rTMS	3	120% RMT	300	—	motor hotspot	—	5	Motor improvement sustained at follow-up	https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202010%20TMS
☺	Stroke – Aphasia	Meta-analysis		Li	China	2015	Medicine (Baltimore)	LF rTMS for post-stroke aphasia: meta-analysis of RCTs	Meta-analysis	Pooled	Figure-8	Right IFG	rTMS	1	90% RMT	—	—	—	—	—	LF right IFG rTMS improves language recovery	https://pubmed.ncbi.nlm.nih.gov/?term=Li%202015%20TMS
☺ (modest)	Stroke – Dysphagia	Pharyngeal RCT		Park	South Korea	2013	Neurogastroenterol Motil	rTMS of pharyngeal motor cortex for post-stroke dysphagia: randomized trial	RCT	5Hz affected hemisphere	Figure-8	Pharyngeal M1	rTMS	5	90% RMT	—	—	motor hotspot	—	10	Improved swallowing vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Park%202013%20TMS
☺ (modest)	Parkinson's – Depression	Left DLPFC		Cardoso	Brazil	2008	Int J Neuropsychopharmacol	rTMS of left DLPFC for depression in Parkinson disease: sham-controlled trial	RCT	15Hz L-DLPFC	Figure-8	Left DLPFC	rTMS	15	110% RMT	—	—	5 cm	—	10	Improved depressive symptoms in PD	https://pubmed.ncbi.nlm.nih.gov/?term=Cardoso%202008%20TMS
☺ (modest)	Focal hand dystonia	Premotor LF rTMS		Murase	Japan	2005	Brain	LF rTMS of premotor cortex improves writer's cramp (focal hand dystonia)	RCT / physiology	0.2Hz premotor	Figure-8	Premotor cortex	rTMS	0.2	85% AMT	—	—	navigation	—	single/short	Transient improvement in handwriting and cortical inhibition	https://pubmed.ncbi.nlm.nih.gov/?term=Murase%202005%20TMS
☺ (modest)	Parkinson's – Dyskinesia	SMA LF rTMS		Koch	Italy	2005	Neurology	LF rTMS of SMA reduces levodopa-induced dyskinesia in Parkinson disease	RCT / physiology	1Hz SMA	Figure-8	SMA	rTMS	1	90% RMT	900	—	navigation	—	single/short	Reduced dyskinesia acutely	https://pubmed.ncbi.nlm.nih.gov/?term=Koch%202005%20TMS
☺ (modest)	Tinnitus	Meta-analysis		Soleimani	Iran	2016	Eur Arch Otorhinolaryngol	rTMS for tinnitus: systematic review and meta-analysis	Meta-analysis	Pooled RCTs	Figure-8	Auditory cortex	rTMS	1	—	—	—	—	—	—	Small-moderate reduction in tinnitus severity vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Soleimani%202016%20TMS
☹	Tinnitus	Large multicenter null		Landgrebe	Germany	2017	Brain Stimul	Multisite rTMS for chronic tinnitus: randomized controlled trial	RCT (large multicenter)	Multicenter	Figure-8	Temporal / DLPFC	rTMS	1	110% RMT	—	—	navigation	—	10	No significant benefit over sham in large multicenter trial (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Landgrebe%202017%20TMS
☺ (modest)	Alzheimer's disease	Bilateral DLPFC pilot		Rutherford	Canada	2015	J Exp Neurosci	HF rTMS of bilateral DLPFC improves cognition in mild Alzheimer disease	RCT pilot	20Hz bilateral DLPFC	Figure-8	Bilateral DLPFC	rTMS	20	90-100% RMT	—	—	10-20	—	multiple	Improved cognitive scores vs sham (pilot)	https://pubmed.ncbi.nlm.nih.gov/?term=Rutherford%202015%20TMS
☺ (modest)	Primary progressive aphasia	Language cortex		Cotelli	Italy	2016	J Alzheimers Dis	rTMS for language in primary progressive aphasia	RCT / series	Language-network rTMS	Figure-8	DLPFC / language cortex	rTMS	20	100% RMT	—	—	navigation	—	multiple	Improved naming/language in PPA	https://pubmed.ncbi.nlm.nih.gov/?term=Cotelli%202016%20TMS
☺ (modest)	Cerebellar ataxia	Cerebellar rTMS		Shiga	Japan	2002	J Neurol Neurosurg Psychiatry	Cerebellar rTMS for spinocerebellar degeneration: controlled study	RCT / series	Cerebellar stimulation	Figure-8	Cerebellum	rTMS	0.2-1	—	—	—	cerebellar landmarks	—	multiple	Improved ataxia / standing balance transiently	https://pubmed.ncbi.nlm.nih.gov/?term=Shiga%202002%20TMS
☺ (modest)	Autism spectrum	DLPFC LF rTMS		Sokhadze	USA	2014	Appl Psychophysiol Biofeedback	LF rTMS of DLPFC improves EEG and behavior in autism	RCT / series	1Hz DLPFC	Figure-8	DLPFC (bilateral)	rTMS	1	90% MT	—	—	10-20	—	up to 18	Reduced irritability; improved event-related potentials	https://pubmed.ncbi.nlm.nih.gov/?term=Sokhadze%202014%20TMS
☺ (modest)	Multiple sclerosis – Fatigue	M1 / DLPFC		Gaede	Germany	2018	Mult Scler	rTMS for fatigue in multiple sclerosis: randomized sham-controlled trial	RCT	iTBS / HF	Figure-8	M1 / DLPFC	iTBS / rTMS	50 / 10	—	—	—	navigation	—	multiple	Reduced MS-related fatigue vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Gaede%202018%20TMS
☺ (modest)	Bulimia / binge eating	Left DLPFC		Gay	France	2016	Eur Eat Disord Rev	HF rTMS of left DLPFC for bulimia nervosa: randomized sham-controlled trial	RCT	10Hz L-DLPFC	Figure-8	Left DLPFC	rTMS	10	110% RMT	1000	—	5 cm	—	multiple	Reduced binge/purge urges vs sham (short-term)	https://pubmed.ncbi.nlm.nih.gov/?term=Gay%202016%20TMS
⚔ ref	Methodology	IFCN methods		Rossini	Europe (IFCN)	2015	Clin Neurophysiol	Non-invasive electrical and magnetic stimulation of the brain, spinal cord, roots and peripheral nerves: IFCN update	Consensus / methods	Foundational methods reference	—	—	—	—	—	—	—	—	—	—	Standardizes TMS methodology, motor threshold, coil, safety terminology	https://pubmed.ncbi.nlm.nih.gov/?term=Rossini%202015%20TMS
⚔ ref	Methodology	Diagnostic TMS guide		Groppa	Europe (IFCN)	2012	Clin Neurophysiol	A practical guide to diagnostic transcranial magnetic stimulation: report of an IFCN committee	Consensus / methods	Diagnostic (MEP, CMCT) methods	—	M1 / corticospinal	single / paired-pulse	—	—	—	—	—	—	1 (diagnostic)	Standard methods for MEP, central motor conduction, cortical excitability	https://pubmed.ncbi.nlm.nih.gov/?term=Groppa%202012%20TMS
⚔ ref	Methodology	Adverse-effects review		Lerner	USA (NIH)	2019	Clin Neurophysiol	Seizures and adverse events associated with TMS: systematic review of published cases	Systematic review	Safety incidence	—	—	—	—	—	—	—	—	—	—	TMS seizure risk very low with guideline adherence; risk factors summarized	https://pubmed.ncbi.nlm.nih.gov/?term=Lerner%202019%20TMS
☺	Depression (MDD)	First depression report		George	USA (NIH)	1995	Neuroreport	Daily prefrontal rTMS improves mood in depression (open pilot)	Open pilot	First rTMS-for-depression report	Figure-8	Left DLPFC	rTMS	20	80% MT	—	—	5 cm	—	5	Antidepressant signal that launched the field	https://pubmed.ncbi.nlm.nih.gov/?term=George%201995%20TMS
☺	Depression (MDD)	Mechanism / rCBF		Speer	USA (NIH)	2000	Biol Psychiatry	Opposite effects of HF and LF rTMS on regional cerebral blood flow in depression	RCT / imaging	20Hz vs 1Hz	Figure-8	Left DLPFC	rTMS	1 / 20	80-100% MT	—	—	5 cm	—	10	Both frequencies antidepressant; opposite rCBF effects	https://pubmed.ncbi.nlm.nih.gov/?term=Speer%202000%20TMS
☺ (modest)	Depression (MDD)	Sham-design study		Nahas	USA (MUSC)	2001	Biol Psychiatry	Two-week left prefrontal rTMS in depression: sham-controlled study	RCT	Angled-coil sham	Figure-8	Left DLPFC	rTMS	5	110% MT	1600	—	5 cm	—	10	Modest antidepressant effect vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Nahas%202001%20TMS
☹	Depression – Late-life	Age-related negative		Manes	USA	2001	Int Psychogeriatr	rTMS for geriatric depression: double-blind sham-controlled study	RCT (elderly)	Small elderly sample	Figure-8	Left DLPFC	rTMS	5 / 20	80-100% MT	—	—	5 cm	—	5	No significant benefit over sham in elderly (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Manes%202001%20TMS
☹	Depression – Late-life	Prefrontal-atrophy negative		Mosimann	Switzerland	2004	Psychiatry Res	HF rTMS of left DLPFC in elderly depression: sham-controlled trial	RCT (elderly)	Older, medication-resistant	Figure-8	Left DLPFC	rTMS	20	100% MT	1600	—	5 cm	—	10	No significant benefit; frontal atrophy limits response (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Mosimann%202004%20TMS
☺ (modest)	Depression (MDD)	fMRI-navigated		Herwig	Germany	2003	J Psychiatr Res	Navigated rTMS of the DLPFC guided by functional imaging in depression	Feasibility / RCT	Neuronavigation feasibility	Figure-8 (navigated)	Left DLPFC	rTMS	15	110% RMT	—	—	fMRI neuronavigation	—	10	Feasible targeting; modest clinical effect	https://pubmed.ncbi.nlm.nih.gov/?term=Herwig%202003%20TMS
☺	Depression (MDD)	Priming rTMS		Fitzgerald	Australia	2009	J Clin Psychopharmacol	Priming stimulation enhances the antidepressant effect of LF right rTMS	RCT	6Hz priming + 1Hz right	Figure-8	Right DLPFC	rTMS	6 prime + 1	90-110% RMT	—	—	5 cm	—	up to 20	Priming enhanced LF-right antidepressant response	https://pubmed.ncbi.nlm.nih.gov/?term=Fitzgerald%202009%20TMS
☹	Depression (MDD)	Large VA null		Yesavage	USA (VA CSP 556)	2018	JAMA Psychiatry	rTMS for treatment-resistant major depression in US veterans: randomized clinical trial	RCT, n=164	VA Cooperative Study	Figure-8	Left DLPFC	rTMS	10	120% RMT	4000	—	5 cm	—	up to 30	No significant difference vs sham; both arms improved (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Yesavage%202018%20TMS
☺	Depression (MDD)	Accelerated iTBS (metabolism)		Baeken	Belgium	2013	World J Biol Psychiatry	Accelerated iTBS in TRD: sgACC metabolism and response	Open / RCT	5 sessions/day x 4 days	Figure-8	Left DLPFC	iTBS	50	110% RMT	1620/session	—	MRI / F3	—	20 (4 days)	Accelerated iTBS produced rapid response; sgACC metabolism change	https://pubmed.ncbi.nlm.nih.gov/?term=Baeken%202013%20TMS
☺	Depression (MDD)	Accelerated iTBS (sham RCT)		Duprat	Belgium	2016	Brain Stimul	Accelerated iTBS for treatment-resistant depression: sham-controlled trial	RCT	Rapid responders	Figure-8	Left DLPFC	iTBS	50	110% RMT	—	—	MRI / F3	—	20 (4 days)	Significant rapid antidepressant response; supports accelerated dosing	https://pubmed.ncbi.nlm.nih.gov/?term=Duprat%202016%20TMS
☺	Depression (MDD)	SAINT precursor		Williams	USA (Stanford)	2018	Brain	High-dose accelerated fcMRI-guided iTBS for TRD (case series)	Case series, n=6	Direct SAINT precursor	Figure-8	Left DLPFC (fcMRI)	Accelerated iTBS	50	90-120% rMT	1800	90,000	fcMRI functional-connectivity	10/day x 5 d	50	Very high remission; basis for SAINT/SNT	https://pubmed.ncbi.nlm.nih.gov/?term=Williams%202018%20TMS
☺ (modest)	Depression (MDD)	Maintenance rTMS		Philip	USA (VA)	2016	J Clin Psychiatry	Maintenance / continuation rTMS for depression: outcomes	Observational	Relapse prevention	Figure-8	Left DLPFC	rTMS	10	120% RMT	3000	—	5 cm / MRI	~37 min	maintenance	Continuation rTMS reduced relapse in responders	https://pubmed.ncbi.nlm.nih.gov/?term=Philip%202016%20TMS
☺ (modest)	Depression (MDD)	Maintenance RCT		Benadhira	France	2017	Psychiatry Res	A randomized study of maintenance rTMS in treatment-resistant depression	RCT	Scheduled maintenance	Figure-8	Left DLPFC	rTMS	10	120% RMT	—	—	5 cm	—	maintenance	Maintenance rTMS trend to lower relapse	https://pubmed.ncbi.nlm.nih.gov/?term=Benadhira%202017%20TMS
☺	Depression (MDD)	TBS RCT (Taiwan)		Li	Taiwan	2014	Brain	Prolonged iTBS and cTBS for treatment-resistant depression: randomized trial	RCT	iTBS / cTBS / combined	Figure-8	Left / bilateral DLPFC	iTBS / cTBS	50	80-100% RMT	—	—	navigation	—	10	Bilateral (iTBS-left + cTBS-right) most effective vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Li%202014%20TMS
☺	Depression (MDD)	Durability meta-analysis		Kedzior	Australia / Germany	2015	J Affect Disord	Durability of antidepressant effect of HF-rTMS: meta-analysis	Meta-analysis	Follow-up outcomes	Figure-8	Left DLPFC	rTMS	10	—	—	—	—	—	—	Antidepressant effect persists ~months after acute course	https://pubmed.ncbi.nlm.nih.gov/?term=Kedzior%202015%20TMS
☺	Depression (MDD)	LF-right meta-analysis		Schutter	Netherlands	2010	Psychol Med	LF rTMS of the right DLPFC in depression: meta-analysis	Meta-analysis	Right-sided LF	Figure-8	Right DLPFC	rTMS	1	—	—	—	—	—	—	LF right DLPFC significantly antidepressant vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Schutter%202010%20TMS
☺	Depression (MDD)	Deep vs standard RCT		Filipčić	Croatia	2019	J Psychiatr Res	Deep TMS vs standard rTMS for treatment-resistant depression: randomized trial	RCT	Head-to-head	H1 / Figure-8	Left DLPFC / bilateral PFC	dTMS / rTMS	18 / 10	120% RMT	1980 / 3000	—	standard / 5 cm	~20-37 min	20-30	Both effective; comparable remission	https://pubmed.ncbi.nlm.nih.gov/?term=Filip%C4%8Di%C4%87%202019%20TMS
☹	OCD	Right DLPFC negative		Sarkhel	India	2010	J Anxiety Disord	HF right prefrontal rTMS as adjunct in OCD: sham-controlled trial	RCT	10Hz right DLPFC	Figure-8	Right DLPFC	rTMS	10	110% MT	—	—	5 cm	—	10	No advantage over sham on OCD symptoms (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Sarkhel%202010%20TMS
☹	OCD	Left DLPFC negative		Prasko	Czech Republic	2006	Neuro Endocrinol Lett	LF rTMS of left DLPFC as augmentation in OCD: sham-controlled trial	RCT	1Hz left DLPFC	Figure-8	Left DLPFC	rTMS	1	110% MT	—	—	5 cm	—	10	No significant difference from sham (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Prasko%202006%20TMS
☹	OCD	Right DLPFC negative		Mansur	Brazil	2011	Int J Neuropsychopharmacol	Placebo-controlled trial of adjunctive HF right DLPFC rTMS in OCD	RCT	10Hz right DLPFC	Figure-8	Right DLPFC	rTMS	10	110% MT	—	—	5 cm	—	6 weeks	No benefit over sham (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Mansur%202011%20TMS
☺ (modest)	OCD	dmPFC HF		Haghighi	Iran	2015	J Psychiatr Res	HF rTMS of dmPFC as adjunct for treatment-resistant OCD	RCT	dmPFC HF	Figure-8	dmPFC	rTMS	10	100% MT	—	—	navigation	—	up to 12	Reduced YBOCS as adjunct vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Haghighi%202015%20TMS
☺	OCD	Meta-analysis		Rehn	Australia	2018	Psychiatr Q	rTMS for OCD: systematic review and meta-analysis	Meta-analysis, 18 RCTs	Pooled by target	—	OFC / SMA / DLPFC	rTMS	various	—	—	—	—	—	—	Significant YBOCS reduction; SMA and OFC targets effective	https://pubmed.ncbi.nlm.nih.gov/?term=Rehn%202018%20TMS
☺ (modest)	Social anxiety disorder	Medial PFC		Paes	Brazil	2013	CNS Neurol Disord Drug Targets	rTMS of the medial prefrontal cortex for social anxiety disorder: pilot	Pilot / case series	mPFC	Figure-8	Medial PFC	rTMS	10	—	—	—	navigation	—	multiple	Reduced social anxiety symptoms in pilot	https://pubmed.ncbi.nlm.nih.gov/?term=Paes%202013%20TMS
☺ (modest)	Generalized anxiety (GAD)	HF right DLPFC		Dilkov	Canada	2017	Prog Neuropsychopharmacol Biol Psychiatry	HF rTMS of right DLPFC for generalized anxiety disorder: sham-controlled trial	RCT	20Hz right DLPFC	Figure-8	Right DLPFC	rTMS	20	110% RMT	—	—	5 cm	—	25	Reduced anxiety vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Dilkov%202017%20TMS
☺ (modest)	Anxiety disorders	Meta-analysis		Cirillo	USA / intl	2019	Brain Behav	Transcranial magnetic stimulation for anxiety and anxiety-related disorders: meta-analysis	Meta-analysis	GAD, panic, PTSD, OCD	—	DLPFC (mostly right)	rTMS	1 / 10-20	—	—	—	—	—	—	rTMS reduces anxiety symptoms across disorders (moderate effect)	https://pubmed.ncbi.nlm.nih.gov/?term=Cirillo%202019%20TMS
☺	PTSD	Deep TMS + exposure		Isserles	Israel	2013	Brain Stimul	Deep TMS combined with brief exposure for PTSD: sham-controlled study	RCT	mPFC dTMS + script exposure	H-coil	Medial PFC	dTMS	20	120% RMT	—	—	standard	—	12	dTMS with exposure reduced PTSD symptoms vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Isserles%202013%20TMS
☺ (modest)	PTSD	LF right DLPFC		Nam	South Korea	2013	Psychiatry Investig	LF rTMS of right DLPFC for PTSD: sham-controlled study	RCT	1Hz right DLPFC	Figure-8	Right DLPFC	rTMS	1	110% RMT	—	—	5 cm	—	15	Reduced PTSD symptoms vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Nam%202013%20TMS
☺	PTSD	rTMS + CPT RCT		Kozel	USA (VA)	2019	Brain Stimul	rTMS as adjunct to cognitive processing therapy for PTSD: randomized trial	RCT	Right DLPFC + CPT	Figure-8	Right DLPFC	rTMS	1	110% RMT	—	—	5 cm	—	~12-15	rTMS augmented psychotherapy outcomes	https://pubmed.ncbi.nlm.nih.gov/?term=Kozel%202019%20TMS
☺ (modest)	PTSD	Bilateral DLPFC		Ahmadizadeh	Iran	2018	Brain Res Bull	Bilateral vs right rTMS of DLPFC for combat PTSD: randomized trial	RCT	Bilateral / right DLPFC	Figure-8	Bilateral / right DLPFC	rTMS	20	100% MT	—	—	5 cm	—	10	Both active arms reduced PTSD symptoms vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Ahmadizadeh%202018%20TMS
☺ (modest)	Schizophrenia	AVH RCT		Fitzgerald	Australia	2005	Schizophr Res	LF rTMS of the left temporoparietal cortex for auditory hallucinations	RCT	1Hz TPC	Figure-8	Left temporoparietal	rTMS	1	90% MT	—	—	T3-P3	—	10	Modest reduction in hallucinations vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Fitzgerald%202005%20TMS
☺ (modest)	Schizophrenia	AVH fMRI-guided		Vercammen	Netherlands	2009	Schizophr Res	LF rTMS of left TPC (standard vs bilateral) for auditory hallucinations	RCT	Standard vs bilateral	Figure-8	Left / bilateral TPC	rTMS	1	90% MT	1200	—	10-20	—	12	Left TPC rTMS reduced hallucinations; bilateral not superior	https://pubmed.ncbi.nlm.nih.gov/?term=Vercammen%202009%20TMS
☹	Schizophrenia	AVH negative		Slotema	Netherlands	2011	Biol Psychiatry	fMRI-guided rTMS for auditory verbal hallucinations: randomized controlled trial	RCT	fMRI-guided vs standard vs sham	Figure-8	Left TPC / fMRI focus	rTMS	1	90% MT	1200	—	fMRI / 10-20	—	15	No superiority over sham (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Slotema%202011%20TMS
☺	Schizophrenia	Negative symptoms RCT		Dlabac-de Lange	Netherlands	2015	Psychol Med	Bilateral rTMS of DLPFC for negative symptoms of schizophrenia: multicenter RCT	RCT, multicenter	10Hz bilateral DLPFC	Figure-8	Bilateral DLPFC	rTMS	10	110% MT	—	—	10-20	—	15	Improved SANS negative symptoms vs sham (up to 3 mo)	https://pubmed.ncbi.nlm.nih.gov/?term=Dlabac-de%20Lange%202015%20TMS
☺ (modest)	Schizophrenia	Negative symptoms meta		He	China	2017	Psychiatry Res	HF rTMS of left DLPFC for negative symptoms of schizophrenia: meta-analysis	Meta-analysis	Pooled RCTs	Figure-8	Left DLPFC	rTMS	10	—	—	—	—	—	—	HF-left DLPFC improves negative symptoms (small-moderate)	https://pubmed.ncbi.nlm.nih.gov/?term=He%202017%20TMS
☺ (modest)	Migraine	Single-pulse acute RCT		Conforto	Brazil	2014	Cephalalgia	Single-pulse TMS for acute migraine without aura: randomized sham-controlled trial	RCT	sTMS occipital	Handheld sTMS	Occipital cortex	single-pulse	—	fixed	—	—	occiput	seconds	PRN	Some acute benefit; smaller than aura studies	https://pubmed.ncbi.nlm.nih.gov/?term=Conforto%202014%20TMS
☺ (modest)	Migraine	HF M1 prophylaxis		Kalita	India	2021	Neurol Sci	HF rTMS of M1 for migraine prophylaxis: randomized sham-controlled trial	RCT	10Hz M1	Figure-8	Motor cortex (M1)	rTMS	10	80% RMT	600	—	motor hotspot	—	3	Reduced migraine frequency vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Kalita%202021%20TMS
☺	Neuropathic pain	M1 rTMS RCT		Lefaucheur	France	2004	Neurology	Neurogenic pain relief by rTMS of precentral (motor) cortex	RCT / crossover	HF M1 contralateral to pain	Figure-8	Motor cortex (M1)	rTMS	10	80-90% RMT	1000-2000	—	navigation	~20 min	single/short	Significant analgesia vs sham; somatotopic specificity	https://pubmed.ncbi.nlm.nih.gov/?term=Lefaucheur%202004%20TMS
☺ (modest)	Neuropathic pain	M1 rTMS		Saitoh	Japan	2007	J Neurosurg	rTMS of the primary motor cortex for intractable deafferentation pain	RCT / crossover	5-10Hz M1	Figure-8	Motor cortex (M1)	rTMS	5-10	90% RMT	—	—	navigation	—	single/short	HF M1 rTMS reduced pain; frequency-dependent	https://pubmed.ncbi.nlm.nih.gov/?term=Saitoh%202007%20TMS
☺	Neuropathic pain	Multicenter RCT		Hosomi	Japan (7 centers)	2013	Pain	Daily M1 rTMS for neuropathic pain: multicenter randomized crossover sham-controlled trial	RCT, n=70	5Hz M1, crossover	Figure-8	Motor cortex (M1)	rTMS	5	90% RMT	500	5000 (10)	navigation	—	10	Significant short-term pain relief vs sham (no carry-over)	https://pubmed.ncbi.nlm.nih.gov/?term=Hosomi%202013%20TMS
☺ (modest)	Fibromyalgia	M1 rTMS RCT		Boyer	France	2014	Neurology	M1 rTMS for fibromyalgia: randomized controlled trial with fMRI	RCT	HF M1	Figure-8	Left M1	rTMS	10	80% RMT	1500	—	navigation	—	14	Improved quality of life; limbic connectivity changes	https://pubmed.ncbi.nlm.nih.gov/?term=Boyer%202014%20TMS
☺ (modest)	Fibromyalgia	DLPFC rTMS RCT		Short	USA	2011	Pain	HF rTMS of left DLPFC for fibromyalgia: randomized sham-controlled trial	RCT	10Hz L-DLPFC	Figure-8	Left DLPFC	rTMS	10	120% RMT	4000	—	5 cm	—	10	Reduced pain and improved mood vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Short%202011%20TMS
☺ (modest)	Phantom limb pain	M1 rTMS RCT		Malavera	Colombia	2016	J Pain	HF rTMS of M1 for phantom limb pain after landmine injury: randomized trial	RCT, n=54	10Hz M1	Figure-8	Motor cortex (M1)	rTMS	10	90% RMT	2000	—	motor hotspot	—	10	Reduced phantom limb pain at 15 days (not sustained at 30)	https://pubmed.ncbi.nlm.nih.gov/?term=Malavera%202016%20TMS
☺	Stroke – Motor	Contralesional LF (mechanism)		Takeuchi	Japan	2005	Stroke	LF rTMS of contralesional M1 improves paretic-hand pinch force after stroke	RCT / physiology	Reduces transcallosal inhibition	Figure-8	Contralesional M1	rTMS	1	90% RMT	—	—	motor hotspot	—	single/short	Improved pinch acceleration of paretic hand	https://pubmed.ncbi.nlm.nih.gov/?term=Takeuchi%202005%20TMS
☺ (modest)	Stroke – Motor	HF ipsilesional		Kim	South Korea	2006	Stroke	HF rTMS of ipsilesional M1 enhances motor performance and cortical excitability	RCT / physiology	10Hz ipsilesional	Figure-8	Ipsilesional M1	rTMS	10	80-90% RMT	—	—	motor hotspot	—	single/multiple	Improved motor performance of affected hand	https://pubmed.ncbi.nlm.nih.gov/?term=Kim%202006%20TMS
☺ (modest)	Stroke – Motor	Contralesional LF RCT		Emara	Egypt	2010	Eur J Neurol	LF vs HF rTMS for motor recovery after stroke: randomized study	RCT	1Hz contralesional / 5Hz ipsilesional	Figure-8	Contralesional / ipsilesional M1	rTMS	1 / 5	80-100% RMT	—	—	motor hotspot	—	10	Both improved motor function and disability vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Emara%202010%20TMS
☺ (modest)	Stroke – Motor	Contralesional LF + therapy		Conforto	Brazil	2012	Neurorehabil Neural Repair	LF rTMS of contralesional M1 plus rehabilitation in subacute stroke: RCT	RCT	1Hz + therapy	Figure-8	Contralesional M1	rTMS	1	90% RMT	1500	—	motor hotspot	—	10	Greater motor gains with active rTMS + therapy	https://pubmed.ncbi.nlm.nih.gov/?term=Conforto%202012%20TMS
☹	Stroke – Motor	Contralesional negative		Seniów	Poland	2012	Neurorehabil Neural Repair	LF rTMS of contralesional M1 combined with therapy after stroke: RCT	RCT	1Hz + therapy	Figure-8	Contralesional M1	rTMS	1	90% RMT	1800	—	motor hotspot	—	15	No added benefit over therapy + sham (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Seni%C3%B3w%202012%20TMS
☹	Stroke – Motor	iTBS negative		Talelli	UK	2012	Neurorehabil Neural Repair	Theta-burst stimulation for chronic stroke motor recovery: randomized controlled trial	RCT	iTBS ipsilesional / cTBS contralesional	Figure-8	M1 (ipsi / contra)	iTBS / cTBS	50	80% AMT	600	—	navigation	—	multiple	No significant motor benefit over sham (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Talelli%202012%20TMS
☺ (modest)	Stroke – Aphasia	Right IFG RCT		Weiduschat	Germany	2011	Stroke	LF rTMS of right IFG for subacute aphasia: randomized controlled pilot	RCT	1Hz right IFG	Figure-8	Right IFG	rTMS	1	90% RMT	1200	—	navigation	—	10	Greater language improvement with right-IFG rTMS vs vertex	https://pubmed.ncbi.nlm.nih.gov/?term=Weiduschat%202011%20TMS
